Precio,Ubicacion,Área (m^2),Distrito,Dormitorios,Baños,Latitud,Longitud,Link,n° colegios (radio 1500m),n° parques/areas verdes (radio 800m),n° hospitales (radio 2000m),n° restaurantes (radio 800m),n° supermercados (radio 1000m),n° gasolineras (radio 1000m)
55000.0,"Ancon, Lima",160.0,Ancon,2,1,-11.74161,-77.13846,https://www.laencontre.com.pe/inmueble/ff63-a479-90aead9-79054a3b4333-4852,4,0,0,0,0,0
230000.0,"Jirón Maximiliano Carranza 856-898, Cuadra 8, Ur. San Juan Sector D, San Juan De Miraflores, Lima, 15801, Per",225.0,San Juan de Miraflores,6,2,-12.15896,-76.96552,https://www.laencontre.com.pe/inmueble/da20-ac47-70a0d355-4a721197475d-4104,112,47,2,47,0,52
415000.0,"Calle Castilla La Vieja, Surco, Perú",271.0,La Molina,4,3,-12.11031,-76.93818,https://www.laencontre.com.pe/inmueble/be99-8d6b-32b0e75-6f42088661b9-46d6,0,44,0,3,0,0
795000.0,"El Sol De La Molina, Lima",600.0,Lima,3,3,-12.08324,-76.90334,https://www.laencontre.com.pe/inmueble/236d-95d6-9f7a1b74-88c0b855f0ed-47ed,7,4,0,8,3,19
354000.0,"Pueblo Libre, Lima",300.0,Pueblo Libre,8,5,-12.07653,-77.06735,https://www.laencontre.com.pe/inmueble/ecfd-9f91-95fad680-58f44bc415b7-4b04,51,49,6,138,4,71
1290000.0,"Calle Valle Riestra, San Isidro, Perú",507.0,San Isidro,7,4,38.16906,-0.83956,https://www.laencontre.com.pe/inmueble/d001-a002-ab32b9e4-52b9dabd2b08-4d87,0,4,0,3,1,1
699000.0,"Santiago De Surco, Lima",400.0,Santiago de Surco,5,5,-12.13102,-76.98333,https://www.laencontre.com.pe/inmueble/abf2-8fa2-5c210736-fb32bc5be85a-1274,27,19,1,139,5,33
440000.0,"Alameda El Triangulo, Urb Las Brisas De Villa, Lima, Perú",600.0,Lima,3,2,-12.21884,-76.99418,https://www.laencontre.com.pe/inmueble/f6d4-8e92-510a06a0-af6289047cb4-41f1,3,9,0,0,0,0
300000.0,"Calle Francisco Graña 445, Magdalena Del Mar, Perú",107.0,Magdalena del Mar,2,2,-12.09023,-77.05947,https://www.laencontre.com.pe/inmueble/3c7-b222-d705d2ee-d425359d98f5-4571,49,44,5,68,8,58
650000.0,"León De La Fuente, Magdalena Del Mar, Perú",305.0,Magdalena del Mar,6,3,-12.09934,-77.06089,https://www.laencontre.com.pe/inmueble/d7a3-ba0b-87f832ba-9b831949dfa2-4525,25,36,3,48,1,54
600000.0,"Calle Arias Araguez 601-699, Cuadra 6, Ur. San Antonio, Miraflores, Lima, 15047, Per",368.0,Miraflores,4,3,-12.12908,-77.0201,https://www.laencontre.com.pe/inmueble/5ba6-9fd5-256a90a2-80dcdcaf3f1-4dc5,22,36,2,107,6,87
396000.0,"Avenida Manuel Olguín, Surco, Perú",220.0,Santiago de Surco,12,6,-12.09991,-76.97312,https://www.laencontre.com.pe/inmueble/8516-b769-e6a72a9e-356a7332d432-42b8,15,15,0,68,0,30
250000.0,"Cerezos 229, Micaela Bastidas, Los Olivos, Lima Province, Perú",160.0,Los Olivos,,,-11.98472,-77.07146,https://www.laencontre.com.pe/inmueble/b349-8d36-f56ce207-ea416789bbd7-4c3b,111,61,4,75,2,22
